# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Sep 15 20:48:28 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: WFIRST proposed filters, Vegamags
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  R062mag  Z087mag  Y106mag  J129mag  H158mag  F184mag  W149mag
0.0152 0.01508 10.13672 0.6000000238 2.3211214542    0.600 -1.074  3.5987  4.637    1  0.000  0.544     0.00     0.00 -1 -6.58e-15      0.00 7.442e-01 2.423e-01 2.440e-03 6.588e-04 5.978e-03 -1.000 1.358e-02 7.454 7.830 6.569 6.167 5.696 5.212 5.010 5.618
0.0152 0.01508 10.13672 0.6499999762 2.3520355225    0.650 -0.885  3.6314  4.614    1  0.000  0.544     0.00     0.00 -1    -1e-14      0.00 7.482e-01 2.385e-01 2.408e-03 6.503e-04 5.903e-03 -1.000 1.339e-02 6.983 7.146 6.105 5.756 5.298 4.821 4.639 5.225
0.0152 0.01508 10.13672 0.6669596434 2.3613185883    0.667 -0.820  3.6428  4.605    1  0.000  0.544     0.00     0.00 -1 -1.16e-14      0.00 7.495e-01 2.372e-01 2.397e-03 6.475e-04 5.877e-03 -1.000 1.334e-02 6.821 6.914 5.948 5.617 5.167 4.701 4.527 5.099
0.0152 0.01508 10.13672 0.7000000477 2.3779268265    0.700 -0.698  3.6641  4.589    1  0.000  0.544     0.00     0.00 -1 -1.53e-14      0.00 7.520e-01 2.347e-01 2.377e-03 6.421e-04 5.829e-03 -1.000 1.326e-02 6.515 6.491 5.646 5.350 4.930 4.506 4.353 4.879
0.0152 0.01508 10.13672 0.7153239846 2.3850336075    0.715 -0.641  3.6736  4.579    1  0.000  0.541     0.00     0.00 -1 -1.74e-14      0.00 7.533e-01 2.335e-01 2.356e-03 6.388e-04 5.803e-03 -1.000 1.320e-02 6.372 6.306 5.504 5.223 4.820 4.418 4.273 4.776
0.0152 0.01508 10.13672 0.7317921519 2.3922905922    0.732 -0.579  3.6835  4.567    1  0.000  0.539     0.00     0.00 -1 -1.92e-19      0.00 7.547e-01 2.321e-01 2.333e-03 6.354e-04 5.775e-03 -1.000 1.313e-02 6.217 6.113 5.353 5.088 4.702 4.323 4.188 4.666
0.0152 0.01508 10.13672 0.7473009825 2.3987894058    0.747 -0.521  3.6926  4.555    1  0.000  0.536     0.00     0.00 -1 -3.28e-15      0.00 7.561e-01 2.308e-01 2.312e-03 6.321e-04 5.748e-03 -1.000 1.308e-02 6.072 5.938 5.212 4.961 4.589 4.230 4.102 4.560
0.0152 0.01508 10.13672 0.7500000000 2.3998889923    0.750 -0.511  3.6942  4.552    1  0.000  0.536     0.00     0.00 -1 -2.37e-14      0.00 7.563e-01 2.306e-01 2.309e-03 6.315e-04 5.743e-03 -1.000 1.304e-02 6.046 5.908 5.188 4.939 4.570 4.214 4.088 4.541
0.0152 0.01508 10.13672 0.7585643530 2.4033184052    0.758 -0.479  3.6985  4.543    1  0.000  0.536     0.00     0.00 -1 -2.56e-14      0.00 7.573e-01 2.297e-01 2.301e-03 6.293e-04 5.724e-03 -1.000 1.300e-02 5.967 5.816 5.112 4.870 4.507 4.160 4.038 4.482
0.0152 0.01508 10.13672 0.7714645267 2.4083189964    0.771 -0.431  3.7049  4.527    1  0.000  0.536     0.00     0.00 -1 -6.44e-19      0.00 7.588e-01 2.282e-01 2.289e-03 6.261e-04 5.694e-03 -1.000 1.296e-02 5.847 5.679 4.997 4.764 4.412 4.078 3.962 4.390
0.0152 0.01508 10.13672 0.7840343714 2.4130101204    0.784 -0.383  3.7109  4.511    1  0.000  0.536     0.00     0.00 -1  -2.4e-19      0.00 7.602e-01 2.269e-01 2.277e-03 6.230e-04 5.667e-03 -1.000 1.290e-02 5.729 5.546 4.884 4.660 4.318 3.997 3.886 4.300
0.0152 0.01508 10.13672 0.7951829433 2.4170281887    0.795 -0.341  3.7162  4.496    1  0.000  0.536     0.00     0.00 -1 -1.04e-15      0.00 7.615e-01 2.257e-01 2.267e-03 6.202e-04 5.643e-03 -1.000 1.284e-02 5.623 5.429 4.784 4.568 4.234 3.922 3.816 4.219
0.0152 0.01508 10.13672 0.8000000119 2.4187245369    0.799 -0.323  3.7184  4.489    1  0.000  0.536     0.00     0.00 -1  -3.8e-14      0.00 7.620e-01 2.252e-01 2.263e-03 6.191e-04 5.632e-03 -1.000 1.282e-02 5.577 5.378 4.740 4.528 4.197 3.890 3.785 4.183
0.0152 0.01508 10.13672 0.8026701808 2.4196548462    0.802 -0.312  3.7196  4.485    1  0.000  0.536     0.00     0.00 -1  -3.9e-14      0.00 7.624e-01 2.248e-01 2.260e-03 6.183e-04 5.626e-03 -1.000 1.281e-02 5.551 5.350 4.716 4.505 4.176 3.871 3.767 4.163
0.0152 0.01508 10.13672 0.8148592710 2.4238123894    0.814 -0.264  3.7248  4.465    1  0.000  0.536     0.00     0.00 -1 -5.64e-19      0.00 7.639e-01 2.234e-01 2.247e-03 6.149e-04 5.595e-03 -1.000 1.273e-02 5.431 5.221 4.602 4.398 4.078 3.782 3.683 4.067
0.0152 0.01508 10.13672 0.8261249661 2.4275298119    0.825 -0.219  3.7295  4.444    1  0.000  0.535     0.00     0.00 -1 -7.72e-22      0.00 7.654e-01 2.220e-01 2.236e-03 6.118e-04 5.567e-03 -1.000 1.264e-02 5.318 5.100 4.495 4.297 3.984 3.698 3.602 3.976
0.0152 0.01508 10.13672 0.8370007873 2.4310095310    0.836 -0.174  3.7338  4.422    1  0.000  0.535     0.00     0.00 -1 -3.25e-18      0.00 7.667e-01 2.207e-01 2.225e-03 6.090e-04 5.541e-03 -1.000 1.261e-02 5.206 4.981 4.389 4.198 3.892 3.612 3.521 3.885
0.0152 0.01508 10.13672 0.8469255567 2.4340956211    0.846 -0.132  3.7376  4.400    1  0.000  0.535     0.00     0.00 -1 -6.35e-15      0.00 7.679e-01 2.196e-01 2.216e-03 6.064e-04 5.519e-03 -1.000 1.257e-02 5.100 4.871 4.290 4.104 3.803 3.530 3.442 3.798
0.0152 0.01508 10.13672 0.8500000238 2.4350347519    0.849 -0.119  3.7387  4.393    1  0.000  0.535     0.00     0.00 -1 -6.56e-14      0.00 7.682e-01 2.192e-01 2.213e-03 6.056e-04 5.512e-03 -1.000 1.256e-02 5.068 4.837 4.260 4.075 3.776 3.505 3.417 3.771
0.0152 0.01508 10.13672 0.8507769108 2.4352707863    0.850 -0.116  3.7390  4.391    1  0.000  0.535     0.00     0.00 -1 -6.62e-14      0.00 7.683e-01 2.191e-01 2.212e-03 6.054e-04 5.509e-03 -1.000 1.255e-02 5.059 4.828 4.252 4.067 3.769 3.498 3.411 3.764
0.0152 0.01508 10.13672 0.8622007966 2.4386861324    0.861 -0.065  3.7425  4.361    1  0.000  0.535     0.00     0.00 -1 -7.65e-14      0.00 7.699e-01 2.176e-01 2.200e-03 6.021e-04 5.480e-03 -1.000 1.246e-02 4.934 4.699 4.133 3.953 3.660 3.395 3.311 3.656
0.0152 0.01508 10.13672 0.8733832240 2.4419295788    0.872 -0.016  3.7454  4.328    1  0.000  0.535     0.00     0.00 -1 -2.18e-18      0.00 7.711e-01 2.165e-01 2.190e-03 5.996e-04 5.458e-03 -1.000 1.239e-02 4.810 4.572 4.015 3.839 3.550 3.290 3.208 3.547
0.0152 0.01508 10.13672 0.8829243779 2.4446227551    0.882  0.029  3.7475  4.297    1  0.000  0.535     0.00     0.00 -1 -2.11e-19      0.00 7.711e-01 2.165e-01 2.191e-03 5.998e-04 5.460e-03 -1.000 1.239e-02 4.698 4.460 3.908 3.735 3.449 3.192 3.112 3.447
0.0152 0.01508 10.13672 0.8859700561 2.4454681873    0.885  0.043  3.7481  4.286    1  0.000  0.535     0.00     0.00 -1 -2.29e-18      0.00 7.709e-01 2.167e-01 2.193e-03 6.005e-04 5.466e-03 -1.000 1.240e-02 4.662 4.423 3.873 3.701 3.415 3.159 3.080 3.414
0.0152 0.01508 10.13672 0.8919686079 2.4471142292    0.891  0.073  3.7489  4.262    1  0.000  0.535     0.00     0.00 -1 -2.51e-16      0.00 7.699e-01 2.176e-01 2.203e-03 6.031e-04 5.490e-03 -1.000 1.248e-02 4.587 4.347 3.800 3.628 3.344 3.089 3.010 3.343
0.0152 0.01508 10.13672 0.8995758295 2.4491655827    0.898  0.112  3.7493  4.228    1  0.000  0.535     0.00     0.00 -1 -9.49e-14      0.00 7.684e-01 2.190e-01 2.217e-03 6.071e-04 5.527e-03 -1.000 1.259e-02 4.489 4.249 3.704 3.532 3.248 2.994 2.916 3.247
0.0152 0.01508 10.13672 0.9000000358 2.4492788315    0.899  0.115  3.7493  4.226    1  0.000  0.535     0.00     0.00 -1 -1.32e-13      0.00 7.683e-01 2.191e-01 2.218e-03 6.074e-04 5.529e-03 -1.000 1.260e-02 4.483 4.244 3.698 3.526 3.243 2.989 2.910 3.242
0.0152 0.01508 10.13672 0.9074737430 2.4512534142    0.906  0.156  3.7486  4.186    1  0.000  0.535     0.00     0.00 -1 -1.51e-13      0.00 7.658e-01 2.214e-01 2.243e-03 6.142e-04 5.592e-03 -1.000 1.273e-02 4.381 4.142 3.595 3.422 3.137 2.882 2.803 3.136
0.0152 0.01508 10.13672 0.9116032124 2.4523284435    0.910  0.179  3.7477  4.161    1  0.000  0.535     0.00     0.00 -1 -1.64e-13      0.00 7.640e-01 2.232e-01 2.262e-03 6.195e-04 5.640e-03 -1.000 1.282e-02 4.323 4.085 3.535 3.362 3.075 2.818 2.739 3.074
0.0152 0.01508 10.13672 0.9144138694 2.4530537128    0.913  0.195  3.7462  4.140    2  0.000  0.535     0.00     0.00 -1 -2.33e-14      0.00 7.616e-01 2.255e-01 2.284e-03 6.257e-04 5.697e-03 -1.000 1.295e-02 4.282 4.046 3.492 3.316 3.028 2.768 2.687 3.026
0.0152 0.01508 10.13672 0.9208908677 2.4547059536    0.919  0.232  3.7414  4.087    2  0.000  0.535     0.00     0.00 -1 -1.49e-17      0.00 7.541e-01 2.326e-01 2.352e-03 6.441e-04 5.864e-03 -1.000 1.334e-02 4.189 3.957 3.391 3.209 2.913 2.645 2.560 2.909
0.0152 0.01508 10.13672 0.9262678623 2.4560573101    0.925  0.260  3.7320  4.024    2  0.000  0.535     0.00     0.00 -1 -8.59e-17      0.00 7.451e-01 2.411e-01 2.428e-03 6.647e-04 6.048e-03 -1.000 1.378e-02 4.120 3.901 3.310 3.115 2.804 2.520 2.427 2.796
