# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Apr  2 18:02:34 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: HST/WFC3 wide filters (UVIS1+IR, final throughputs)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F218W1mag  F225W1mag  F275W1mag  F336Wmag  F390Wmag  F438Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag  F105Wmag  F110Wmag  F125Wmag  F140Wmag  F160Wmag
0.00011527 -2.13000 10.07918 0.5021294355 2.2396388054    0.502 -1.014  3.6876  4.855    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.42e-15      0.00 7.522e-01 2.477e-01 2.157e-05 5.819e-06 5.278e-05 -1.000 1.205e-04 7.305 12.241 11.427 10.056 8.478 8.633 8.493 8.088 7.709 7.378 7.180 6.668 6.595 6.222 6.097 5.941 5.758 5.582
0.00011527 -2.13000 10.07918 0.5514196754 2.2848303318    0.551 -0.812  3.7071  4.772    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.850e-01 2.149e-01 1.888e-05 5.097e-06 4.625e-05 -1.000 9.960e-05 6.800 10.974 10.240 9.017 7.663 7.909 7.837 7.476 7.134 6.831 6.650 6.178 6.112 5.775 5.658 5.511 5.338 5.172
0.00011527 -2.13000 10.07918 0.6007097960 2.3216018677    0.600 -0.605  3.7319  4.701    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.978e-01 2.021e-01 1.788e-05 4.830e-06 4.385e-05 -1.000 7.381e-05 6.284 9.497 8.909 7.916 6.823 7.158 7.157 6.848 6.551 6.280 6.117 5.692 5.634 5.341 5.234 5.097 4.938 4.786
0.00011527 -2.13000 10.07918 0.6073135138 2.3260097504    0.607 -0.576  3.7358  4.692    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 8.000e-01 2.000e-01 1.772e-05 4.786e-06 4.346e-05 -1.000 4.503e-05 6.210 9.285 8.720 7.763 6.707 7.054 7.061 6.760 6.469 6.203 6.043 5.625 5.568 5.282 5.176 5.041 4.883 4.734
0.00011527 -2.13000 10.07918 0.6184114814 2.3331742287    0.618 -0.527  3.7423  4.677    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-14      0.00 8.037e-01 1.962e-01 1.743e-05 4.709e-06 4.276e-05 -1.000 1.170e-04 6.086 8.923 8.399 7.505 6.514 6.879 6.901 6.612 6.332 6.074 5.919 5.512 5.457 5.182 5.078 4.946 4.792 4.646
0.00011527 -2.13000 10.07918 0.6283012629 2.3393139839    0.628 -0.482  3.7481  4.662    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 8.072e-01 1.927e-01 1.715e-05 4.637e-06 4.211e-05 -1.000 8.351e-05 5.975 8.594 8.110 7.276 6.346 6.725 6.759 6.481 6.210 5.959 5.808 5.413 5.360 5.094 4.992 4.862 4.710 4.567
0.00011527 -2.13000 10.07918 0.6379033923 2.3450663090    0.638 -0.438  3.7537  4.647    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -9.76e-15      0.00 8.108e-01 1.891e-01 1.688e-05 4.563e-06 4.145e-05 -1.000 5.677e-05 5.866 8.290 7.841 7.060 6.185 6.577 6.621 6.353 6.091 5.848 5.701 5.316 5.265 5.008 4.908 4.780 4.630 4.489
0.00011527 -2.13000 10.07918 0.6492170691 2.3515934944    0.649 -0.386  3.7601  4.629    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-14      0.00 8.152e-01 1.847e-01 1.654e-05 4.473e-06 4.064e-05 -1.000 7.570e-05 5.735 7.944 7.531 6.809 5.995 6.403 6.459 6.203 5.952 5.717 5.574 5.201 5.152 4.905 4.807 4.681 4.534 4.396
0.00011527 -2.13000 10.07918 0.6499999762 2.3520355225    0.650 -0.383  3.7606  4.628    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.13e-14      0.00 8.155e-01 1.843e-01 1.652e-05 4.466e-06 4.058e-05 -1.000 1.182e-04 5.726 7.921 7.511 6.793 5.983 6.392 6.448 6.193 5.942 5.708 5.566 5.193 5.145 4.898 4.800 4.674 4.527 4.389
0.00011527 -2.13000 10.07918 0.6586697698 2.3568496704    0.658 -0.342  3.7653  4.611    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-14      0.00 8.199e-01 1.800e-01 1.618e-05 4.377e-06 3.978e-05 -1.000 1.205e-04 5.624 7.679 7.293 6.613 5.846 6.263 6.325 6.078 5.835 5.606 5.468 5.103 5.056 4.816 4.720 4.596 4.451 4.315
0.00011527 -2.13000 10.07918 0.6688961983 2.3623440266    0.669 -0.293  3.7708  4.591    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-14      0.00 8.254e-01 1.745e-01 1.576e-05 4.265e-06 3.877e-05 -1.000 1.165e-04 5.502 7.400 7.040 6.403 5.684 6.110 6.179 5.942 5.706 5.485 5.350 4.995 4.949 4.717 4.622 4.501 4.358 4.225
0.00011527 -2.13000 10.07918 0.6786239147 2.3673942089    0.678 -0.245  3.7759  4.570    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-14      0.00 8.310e-01 1.689e-01 1.533e-05 4.151e-06 3.775e-05 -1.000 1.115e-04 5.383 7.148 6.810 6.209 5.533 5.965 6.040 5.811 5.583 5.367 5.235 4.889 4.845 4.620 4.527 4.407 4.266 4.135
0.00011527 -2.13000 10.07918 0.6879103780 2.3720624447    0.688 -0.199  3.7808  4.549    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-14      0.00 8.366e-01 1.633e-01 1.490e-05 4.036e-06 3.672e-05 -1.000 1.047e-04 5.266 6.910 6.590 6.023 5.387 5.824 5.903 5.682 5.462 5.252 5.123 4.785 4.742 4.524 4.432 4.314 4.175 4.046
0.00011527 -2.13000 10.07918 0.6961514950 2.3760855198    0.696 -0.155  3.7851  4.528    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.81e-15      0.00 8.420e-01 1.580e-01 1.449e-05 3.927e-06 3.575e-05 -1.000 6.278e-05 5.159 6.705 6.401 5.862 5.258 5.697 5.778 5.564 5.350 5.145 5.020 4.690 4.648 4.436 4.345 4.229 4.092 3.966
0.00011527 -2.13000 10.07918 0.6999999285 2.3779268265    0.700 -0.135  3.7870  4.518    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -6.04e-14      0.00 8.446e-01 1.554e-01 1.429e-05 3.875e-06 3.528e-05 -1.000 4.165e-05 5.108 6.610 6.313 5.786 5.197 5.637 5.719 5.508 5.297 5.095 4.971 4.644 4.603 4.394 4.304 4.188 4.053 3.927
0.00011527 -2.13000 10.07918 0.7090682983 2.3821749687    0.709 -0.085  3.7914  4.491    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.95e-14      0.00 8.496e-01 1.503e-01 1.391e-05 3.783e-06 3.446e-05 -1.000 4.792e-05 4.982 6.391 6.109 5.608 5.052 5.491 5.576 5.372 5.167 4.970 4.849 4.530 4.490 4.288 4.199 4.085 3.952 3.829
0.00011527 -2.13000 10.07918 0.7175545692 2.3860387802    0.717 -0.035  3.7955  4.463    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -8e-14      0.00 8.538e-01 1.461e-01 1.361e-05 3.711e-06 3.384e-05 -1.000 8.461e-05 4.857 6.189 5.920 5.442 4.915 5.350 5.435 5.237 5.038 4.847 4.729 4.417 4.378 4.181 4.095 3.982 3.851 3.731
0.00011527 -2.13000 10.07918 0.7259311080 2.3897511959    0.725  0.017  3.7995  4.432    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -9.28e-14      0.00 8.575e-01 1.425e-01 1.336e-05 3.652e-06 3.333e-05 -1.000 5.002e-05 4.728 5.985 5.729 5.274 4.774 5.204 5.289 5.098 4.904 4.717 4.602 4.297 4.260 4.069 3.984 3.873 3.745 3.627
0.00011527 -2.13000 10.07918 0.7331234217 2.3928608894    0.733  0.064  3.8028  4.402    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 8.603e-01 1.397e-01 1.318e-05 3.610e-06 3.297e-05 -1.000 5.767e-05 4.610 5.814 5.567 5.129 4.651 5.074 5.157 4.971 4.782 4.599 4.487 4.188 4.152 3.965 3.881 3.772 3.646 3.531
0.00011527 -2.13000 10.07918 0.7400895953 2.3958065510    0.739  0.113  3.8059  4.370    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-14      0.00 8.627e-01 1.372e-01 1.302e-05 3.575e-06 3.267e-05 -1.000 1.115e-04 4.488 5.645 5.406 4.985 4.526 4.940 5.022 4.840 4.656 4.477 4.366 4.073 4.038 3.856 3.774 3.666 3.542 3.429
0.00011527 -2.13000 10.07918 0.7470547557 2.3986887932    0.746  0.166  3.8089  4.333    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 8.649e-01 1.349e-01 1.288e-05 3.545e-06 3.241e-05 -1.000 1.166e-04 4.356 5.469 5.238 4.832 4.392 4.797 4.876 4.700 4.519 4.344 4.236 3.948 3.914 3.736 3.655 3.549 3.427 3.317
0.00011527 -2.13000 10.07918 0.7500000000 2.3998889923    0.749  0.189  3.8101  4.316    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-13      0.00 8.659e-01 1.340e-01 1.282e-05 3.533e-06 3.231e-05 -1.000 1.197e-04 4.298 5.394 5.167 4.767 4.334 4.735 4.813 4.638 4.460 4.286 4.179 3.893 3.859 3.683 3.603 3.497 3.377 3.267
0.00011527 -2.13000 10.07918 0.7513016462 2.4004161358    0.751  0.199  3.8107  4.309    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-13      0.00 8.659e-01 1.340e-01 1.283e-05 3.535e-06 3.233e-05 -1.000 1.200e-04 4.273 5.361 5.135 4.738 4.309 4.707 4.785 4.611 4.433 4.260 4.153 3.869 3.835 3.660 3.580 3.475 3.355 3.245
0.00011527 -2.13000 10.07918 0.7594036460 2.4036495686    0.759  0.270  3.8142  4.257    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-13      0.00 8.663e-01 1.337e-01 1.288e-05 3.549e-06 3.247e-05 -1.000 2.325e-05 4.095 5.144 4.926 4.545 4.135 4.516 4.590 4.422 4.249 4.080 3.976 3.699 3.666 3.496 3.417 3.314 3.197 3.091
0.00011527 -2.13000 10.07918 0.7647798061 2.4057519436    0.764  0.322  3.8162  4.216    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-13      0.00 8.663e-01 1.336e-01 1.291e-05 3.559e-06 3.258e-05 -1.000 9.252e-05 3.965 4.996 4.783 4.410 4.010 4.380 4.451 4.285 4.115 3.949 3.846 3.573 3.540 3.373 3.296 3.194 3.078 2.974
0.00011527 -2.13000 10.07918 0.7698769569 2.4077138901    0.769  0.374  3.8176  4.173    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -2.75e-13      0.00 8.653e-01 1.346e-01 1.303e-05 3.591e-06 3.287e-05 -1.000 1.000e-04 3.836 4.854 4.645 4.278 3.885 4.244 4.313 4.150 3.982 3.818 3.716 3.446 3.414 3.249 3.172 3.071 2.957 2.855
0.00011527 -2.13000 10.07918 0.7740441561 2.4092960358    0.773  0.419  3.8182  4.131    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-13      0.00 8.641e-01 1.358e-01 1.314e-05 3.624e-06 3.317e-05 -1.000 1.000e-04 3.721 4.738 4.530 4.166 3.777 4.127 4.194 4.031 3.865 3.702 3.601 3.332 3.300 3.136 3.059 2.959 2.846 2.744
